year,amira
1910,3.28602611391179e-10
1911,2.9658839471670614e-10
1912,3.563092301365042e-10
1913,3.21706996359821e-10
1914,2.580595756925977e-10
1915,2.8089444262643527e-10
1916,2.2064588648237508e-10
1917,2.7989434183060627e-10
1918,2.7988977405587635e-10
1919,2.8065817130646613e-10
1920,3.251601686317583e-10
1921,3.251601686317583e-10
1922,3.55117661467373e-10
1923,3.55117661467373e-10
1924,2.556197515562226e-10
1925,2.687736699868992e-10
1926,2.0828443731651143e-10
1927,1.0659751652803656e-10
1928,1.0659751652803656e-10
1929,1.4696499572863786e-10
1930,3.1106658518861453e-10
1931,3.906126850543907e-10
1932,4.2825065715845767e-10
1933,4.2825065715845767e-10
1934,4.2825065715845767e-10
1935,5.592018356307246e-10
1936,4.750837877860142e-10
1937,3.1098219832603746e-10
1938,3.1547933908106426e-10
1939,2.4419899237658274e-10
1940,2.4419899237658274e-10
1941,3.178229088637455e-10
1942,1.868717303914786e-10
1943,2.1797365896374695e-10
1944,2.1797365896374695e-10
1945,1.6108367219467923e-10
1946,1.6108367219467923e-10
1947,2.107237935731833e-10
1948,1.3709987708602053e-10
1949,2.6311548773083615e-10
1950,3.035897267705019e-10
1951,3.2786733248992203e-10
1952,3.007140786381868e-10
1953,3.243370651416301e-10
1954,4.465705384846887e-10
1955,4.465705384846887e-10
1956,3.404971245433787e-10
1957,2.590500532338526e-10
1958,2.8821728337291574e-10
1959,3.2267670281780983e-10
1960,6.362474178464187e-10
1961,6.578997802891046e-10
1962,7.659953524649258e-10
1963,7.769130557143202e-10
1964,1.0188844589460138e-09
1965,9.78974846624744e-10
1966,1.0111596252764571e-09
1967,7.142275352494438e-10
1968,6.010706069774813e-10
1969,6.289243976799672e-10
1970,7.551913172191124e-10
1971,5.610211372844961e-10
1972,6.518726669568764e-10
1973,6.33867403010413e-10
1974,6.174830012385866e-10
1975,1.0009266431560653e-09
1976,1.0082016332901844e-09
1977,2.3253602694189065e-09
1978,2.4039131399763593e-09
1979,2.6742680530362453e-09
1980,2.837443097940857e-09
1981,3.044582126093027e-09
1982,2.636899115726621e-09
1983,2.6517995458227463e-09
1984,1.4015295313196674e-09
1985,1.3225007795230376e-09
1986,1.1254365574396375e-09
1987,9.940766741513484e-10
1988,9.393936065535006e-10
1989,1.1036975064041395e-09
1990,1.2030228955874277e-09
1991,1.1772991391291653e-09
1992,1.1393470413155272e-09
1993,1.1801530030997043e-09
1994,1.2820249187647396e-09
1995,1.792916818978339e-09
1996,1.8423267078571115e-09
1997,1.7956359296292641e-09
1998,1.8457078127769628e-09
1999,2.5793734767124275e-09
2000,2.5338023742652436e-09
2001,2.9607970202556136e-09
2002,2.4894588771370454e-09
2003,2.5689077373261935e-09
2004,2.702980791572226e-09
2005,2.7982130739496417e-09
2006,2.608554118742136e-09
2007,3.0039702471538833e-09
2008,4.424169760700433e-09
2009,4.444914373077527e-09
2010,4.894467561403612e-09
2011,5.173250621532637e-09
2012,8.254450710256021e-09
2013,8.463888066602619e-09
2014,9.803032417567335e-09
2015,8.084112553977515e-09
2016,8.243687002870307e-09
2017,8.685648422712688e-09
2018,9.549716395440556e-09
2019,5.943752601211827e-09
