year,lipin
1917,5.420441086455087e-08
1918,5.7072036747334616e-08
1919,6.660642602542208e-08
1920,7.197908021997332e-08
1921,7.201540214956432e-08
1922,7.313652109327709e-08
1923,6.236244485892581e-08
1924,5.810233158090991e-08
1925,5.71483589340005e-08
1926,4.93238219791335e-08
1927,3.95191168678366e-08
1928,3.78949450866425e-08
1929,4.207794671426005e-08
1930,3.705677618727675e-08
1931,3.558254617936589e-08
1932,3.614767989696637e-08
1933,3.508175718179375e-08
1934,3.5121316648607196e-08
1935,3.416329137045133e-08
1936,2.929786622831086e-08
1937,2.722566832298006e-08
1938,2.3374613355997553e-08
1939,2.0664813479446105e-08
1940,2.233153890378909e-08
1941,1.8796496803474838e-08
1942,1.7137569966304715e-08
1943,1.4474670604970794e-08
1944,1.4434309747457519e-08
1945,1.521446105609162e-08
1946,1.3149586562479141e-08
1947,1.018022098366243e-08
1948,1.0530536696608448e-08
1949,1.0384999780756386e-08
1950,9.85539624512707e-09
1951,8.849113822658898e-09
1952,7.45404817235697e-09
1953,6.8205534553555935e-09
1954,6.770117736262396e-09
1955,5.379441083062732e-09
1956,4.222053881112028e-09
1957,3.6624190664318642e-09
1958,3.470112324472601e-09
1959,3.4124225984604503e-09
1960,3.3574407698466757e-09
1961,3.1879330603905895e-09
1962,2.9601517427733727e-09
1963,3.4987483386674155e-09
1964,3.0506864812096524e-09
1965,2.871737562034785e-09
1966,2.6103688734378595e-09
1967,2.353937425933087e-09
1968,2.093236599926789e-09
1969,2.4134537543066668e-09
1970,1.7527932121603434e-09
1971,1.8297699546008873e-09
1972,1.8064971582124452e-09
1973,1.8144491306263229e-09
1974,1.9876836050108135e-09
1975,1.8685072457534447e-09
1976,1.377748320192345e-09
1977,1.3284960512624115e-09
1978,1.209503235661507e-09
1979,9.848016727495183e-10
1980,9.314552502320034e-10
1981,7.126824487700491e-10
1982,7.185747750794645e-10
1983,7.805759094647868e-10
1984,8.519137181409572e-10
1985,8.093069111695225e-10
1986,9.298158195772796e-10
1987,8.992308881643802e-10
1988,8.874481625755135e-10
1989,9.06651262003574e-10
1990,8.560550205213449e-10
1991,7.165009974219316e-10
1992,6.881178722067155e-10
1993,6.405853466720909e-10
1994,6.413824154322916e-10
1995,6.272950809587436e-10
1996,5.970064125599655e-10
1997,5.423274171015688e-10
1998,5.762582871200144e-10
1999,1.1120041197378227e-09
2000,1.2621308641071393e-09
2001,1.3223490358260648e-09
2002,1.5236890122632169e-09
2003,1.6508688424224767e-09
2004,2.0848159944440526e-09
2005,2.1192140582065075e-09
2006,2.067667925764738e-09
2007,2.033262812086077e-09
2008,2.218326744518606e-09
2009,3.858262170070808e-09
2010,5.3529462925741964e-09
2011,5.403636633387927e-09
2012,5.718091159298158e-09
2013,5.492832934526705e-09
2014,5.708055647194296e-09
2015,6.826703488219518e-09
2016,5.316758874432789e-09
2017,4.205771619858467e-09
2018,4.278631626775109e-09
2019,4.609016390766385e-09
