year,harry
1927,2.473935540235418e-07
1928,2.4658992612915297e-07
1929,2.319093701836599e-07
1930,2.2160239560824785e-07
1931,2.1962946610593853e-07
1932,1.9470160696398254e-07
1933,1.9237931171898837e-07
1934,1.593121408762142e-07
1935,1.7274015411723148e-07
1936,2.2780230324315198e-07
1937,2.4226619643741287e-07
1938,2.6140445389241253e-07
1939,2.919623288529952e-07
1940,2.928465749261834e-07
1941,2.918717224734532e-07
1942,2.879741032302263e-07
1943,2.416538588282232e-07
1944,2.502528835585898e-07
1945,2.3721836888463648e-07
1946,2.2528056068235207e-07
1947,2.431337285153339e-07
1948,2.7620669332658767e-07
1949,2.8025323014649726e-07
1950,2.901161073915708e-07
1951,2.6745765881384743e-07
1952,2.8665800755334203e-07
1953,2.8177430928215994e-07
1954,2.6959295951201057e-07
1955,2.490846944575813e-07
1956,2.430189474417992e-07
1957,2.3616325758471897e-07
1958,2.384865496196653e-07
1959,2.3492532972925672e-07
1960,2.289964230937715e-07
1961,2.396442551701382e-07
1962,2.328513813511433e-07
1963,2.3447106757755266e-07
1964,2.3571082254290688e-07
1965,2.4416230002900973e-07
1966,2.298077654521486e-07
1967,2.2273775966498632e-07
1968,2.2688685419325338e-07
1969,2.3639206452636635e-07
1970,2.4185132677497935e-07
1971,2.3656834002849791e-07
1972,2.399425998841512e-07
1973,2.325106395671485e-07
1974,2.210304208866936e-07
1975,2.0289335062833353e-07
1976,1.7152349889621682e-07
1977,1.5374717930529057e-07
1978,1.4008779203322774e-07
1979,1.1668587721455229e-07
1980,1.1014938244053546e-07
1981,1.1034522425948775e-07
1982,9.81961706868008e-08
1983,1.0399383601874693e-07
1984,9.9529571124484e-08
1985,1.0655808629118318e-07
1986,1.0566257405538895e-07
1987,1.0505642730354989e-07
1988,1.0170119273717709e-07
1989,1.0041635485029993e-07
1990,9.645045651041073e-08
1991,9.421665530291129e-08
1992,8.383395818814929e-08
1993,8.88818141626351e-08
1994,9.093370627916946e-08
1995,9.62238339801453e-08
1996,9.6212144537081e-08
1997,1.0494625460718712e-07
1998,1.0637720748718493e-07
1999,1.0908990739315933e-07
2000,1.0854650257994893e-07
2001,1.1411600959425933e-07
2002,1.2150094416288733e-07
2003,1.2815650965844076e-07
2004,1.252968126712923e-07
2005,1.438675779143393e-07
2006,1.5643082511879974e-07
2007,1.6486910884136057e-07
2008,1.7937601423260015e-07
2009,1.8038665773799168e-07
2010,1.9639563220152922e-07
2011,2.3360761604505698e-07
2012,2.408441852302141e-07
2013,2.428736922053888e-07
2014,2.4043303069122756e-07
2015,2.2909501394354136e-07
2016,2.2615351521640799e-07
2017,2.228988857192841e-07
2018,1.9084130826740874e-07
2019,1.7072332525458478e-07
