year,Lucky
1921,8.806423872036768e-07
1922,9.558517604091321e-07
1923,9.768792454321686e-07
1924,1.0170006297422724e-06
1925,1.078138382126781e-06
1926,1.170838199219101e-06
1927,1.2847559836310602e-06
1928,1.3645003653956728e-06
1929,1.3390591675488395e-06
1930,1.388531651563036e-06
1931,1.3694035650197684e-06
1932,1.3410815427050693e-06
1933,1.302026394764003e-06
1934,1.2751116530905295e-06
1935,1.2948717572466454e-06
1936,1.304746498525284e-06
1937,1.3269134829637811e-06
1938,1.3637142533947814e-06
1939,1.3617006158840792e-06
1940,1.3382686704842075e-06
1941,1.3064701046719814e-06
1942,1.307359460562501e-06
1943,1.341695906376117e-06
1944,1.3274632400290493e-06
1945,1.3569647308031563e-06
1946,1.4669046614861664e-06
1947,1.5695023388876246e-06
1948,1.632373238992711e-06
1949,1.6263458064713632e-06
1950,1.6499819983956904e-06
1951,1.6947160474956036e-06
1952,1.6841498141470116e-06
1953,1.639397120405712e-06
1954,1.5765812934530134e-06
1955,1.590261896516105e-06
1956,1.5786437188580749e-06
1957,1.5574146995537115e-06
1958,1.4743004125453548e-06
1959,1.446822060253388e-06
1960,1.3903311680353779e-06
1961,1.356909982470305e-06
1962,1.255479203012198e-06
1963,1.2098297150129968e-06
1964,1.1501960638530103e-06
1965,1.1330573508010794e-06
1966,1.099541236726509e-06
1967,1.0841530086379083e-06
1968,1.0641378724228292e-06
1969,1.0630754851652974e-06
1970,1.0564305219824227e-06
1971,1.0543370925526169e-06
1972,1.0443011595790658e-06
1973,1.074074670473887e-06
1974,1.0947328356840963e-06
1975,1.1290687293045006e-06
1976,1.1557115645440978e-06
1977,1.1716064299045165e-06
1978,1.1989485853648927e-06
1979,1.215377242910368e-06
1980,1.208742527783865e-06
1981,1.22085659118706e-06
1982,1.2530630328910775e-06
1983,1.3052616298279775e-06
1984,1.3915355014302934e-06
1985,1.461053622214032e-06
1986,1.546967674974959e-06
1987,1.6236440712548626e-06
1988,1.7492652172482589e-06
1989,1.8291303344345318e-06
1990,1.9065660126216244e-06
1991,1.9336947454056438e-06
1992,1.9374012936168583e-06
1993,1.999226063682207e-06
1994,2.062157640076683e-06
1995,2.03119028745797e-06
1996,2.082092497143354e-06
1997,2.112049855895748e-06
1998,2.192476992084786e-06
1999,2.322674877827272e-06
2000,2.3996867964472457e-06
2001,2.503075425660687e-06
2002,2.615521680127131e-06
2003,2.656147704068904e-06
2004,2.7514889292693364e-06
2005,2.8431597911549034e-06
2006,2.9958461189900324e-06
2007,3.1761811832049195e-06
2008,3.354595784393106e-06
2009,3.4928614240925526e-06
2010,3.658576620832069e-06
2011,3.879042001894309e-06
2012,4.177209867910798e-06
2013,4.234753175426574e-06
2014,4.228159143946998e-06
2015,4.1466698803560575e-06
2016,4.102085443134586e-06
2017,4.138314200948419e-06
2018,4.05345299441251e-06
2019,3.76820378278353e-06
