year,lucky
1882,3.6374602002199808e-06
1883,3.655380916305668e-06
1884,3.6388444186741253e-06
1885,3.6605460016809436e-06
1886,3.6786536189278455e-06
1887,3.6596360847137736e-06
1888,3.641488612109762e-06
1889,3.6481582940593526e-06
1890,3.759810462205288e-06
1891,3.776104547016855e-06
1892,3.78146176314788e-06
1893,3.857361304783678e-06
1894,3.828510443781852e-06
1895,3.873069902380978e-06
1896,4.042266709802789e-06
1897,4.1247830202857064e-06
1898,4.165645188030405e-06
1899,4.211188622450988e-06
1900,4.193155681215492e-06
1901,4.25996339410111e-06
1902,4.2063131786562735e-06
1903,3.9738623789682085e-06
1904,3.7804865899358575e-06
1905,3.6893619445826128e-06
1906,3.6346023404933348e-06
1907,3.548801162521288e-06
1908,3.4307066536192517e-06
1909,3.416822047646357e-06
1910,3.4051856151303842e-06
1911,3.415959326957818e-06
1912,3.4231494997324522e-06
1913,3.410481505332947e-06
1914,3.4793734227735385e-06
1915,3.572609037811552e-06
1916,3.652888413593506e-06
1917,3.7514572081168547e-06
1918,3.818323745820505e-06
1919,3.910779144332212e-06
1920,4.0120410501133715e-06
1921,4.050251521091143e-06
1922,4.095844295599298e-06
1923,4.122076916246442e-06
1924,4.192271002726297e-06
1925,4.25393097559988e-06
1926,4.31303741217042e-06
1927,4.371861060852618e-06
1928,4.410072051541647e-06
1929,4.433262152555731e-06
1930,4.464968242245959e-06
1931,4.501843964784971e-06
1932,4.609123607224319e-06
1933,4.631991552222254e-06
1934,4.674675697710232e-06
1935,4.704966808536223e-06
1936,4.728394482559192e-06
1937,4.758080519552875e-06
1938,4.700844198980901e-06
1939,4.698711044121799e-06
1940,4.758318482345203e-06
1941,4.830590309471258e-06
1942,4.910922858211311e-06
1943,5.024651012977951e-06
1944,5.071747377119859e-06
1945,5.154047552683291e-06
1946,5.044659441669605e-06
1947,4.9830911978330865e-06
1948,4.880161668552319e-06
1949,4.855045192795972e-06
1950,4.753383564093383e-06
1951,4.713965479043379e-06
1952,4.696996061933792e-06
1953,4.757044670051462e-06
1954,4.7420191679391015e-06
1955,4.7456405159859316e-06
1956,4.670917730566414e-06
1957,4.647062788925334e-06
1958,4.626104522945493e-06
1959,4.58691764444146e-06
1960,4.506301203426639e-06
1961,4.450055192657081e-06
1962,4.366680579031319e-06
1963,4.344500212027924e-06
1964,4.327933960926852e-06
1965,4.323259937726627e-06
1966,4.319464681300035e-06
1967,4.372750936454395e-06
1968,4.406328441421335e-06
1969,4.406155312608462e-06
1970,4.383097088326135e-06
1971,4.373038011960619e-06
1972,4.320777017190787e-06
1973,4.280451191464506e-06
1974,4.224974158465297e-06
1975,4.217038882156235e-06
1976,4.244012805949231e-06
1977,4.295138101692178e-06
1978,4.36601723257419e-06
1979,4.457473096408648e-06
1980,4.532396685265537e-06
1981,4.664155767386546e-06
1982,4.776201421918813e-06
1983,4.922271727991756e-06
1984,5.076256002212176e-06
1985,5.23077265565267e-06
1986,5.389281925870039e-06
1987,5.550126518625932e-06
1988,5.734433021383925e-06
1989,5.89298049037877e-06
1990,6.012029513970317e-06
1991,6.135737619063418e-06
1992,6.220231755703155e-06
1993,6.395266414723924e-06
1994,6.599230346182594e-06
1995,6.753824761420089e-06
1996,7.03285377312568e-06
1997,7.597521679209811e-06
1998,8.146002918303047e-06
1999,8.827066137330672e-06
2000,9.532578782714804e-06
2001,1.023308141157031e-05
2002,1.0986259699815751e-05
2003,1.1613362923006726e-05
2004,1.2089257714771001e-05
2005,1.2552181812809846e-05
2006,1.3238724282668305e-05
2007,1.383222479489632e-05
2008,1.4702449334436096e-05
2009,1.523521677881945e-05
2010,1.5907512793741523e-05
2011,1.6758550243269254e-05
2012,1.7494392782932016e-05
2013,1.784165786895236e-05
2014,1.8172179157513062e-05
2015,1.8017971212559913e-05
2016,1.8281168844883462e-05
2017,1.8451738772758592e-05
2018,1.8247201296617277e-05
2019,1.8132253899239004e-05
