year,Skin
1919,2.7488351536573774e-06
1920,2.7249914182903012e-06
1921,2.7794522858520006e-06
1922,2.78881631337364e-06
1923,2.8867913053025925e-06
1924,2.873899510242544e-06
1925,2.8516871809967725e-06
1926,2.7989197925697747e-06
1927,2.8716657262910824e-06
1928,2.917536416394536e-06
1929,2.9980459268179923e-06
1930,3.004785315040083e-06
1931,3.062002081475969e-06
1932,3.074953318511169e-06
1933,3.128556467605189e-06
1934,3.1477198133091278e-06
1935,3.1882932164860122e-06
1936,3.2024812039058555e-06
1937,3.155613122934093e-06
1938,3.091703320023953e-06
1939,3.5389285000876825e-06
1940,3.5479457502723174e-06
1941,3.616915526955771e-06
1942,3.597450326456705e-06
1943,3.584603324010719e-06
1944,3.5953727482202728e-06
1945,3.617915386452556e-06
1946,3.12059913604961e-06
1947,3.1154119304639087e-06
1948,3.0588808905512062e-06
1949,3.058426630429624e-06
1950,3.053918947313962e-06
1951,3.1352344649349106e-06
1952,3.194622682453233e-06
1953,3.2613320399832446e-06
1954,3.3209292788732066e-06
1955,3.4062996162122417e-06
1956,3.4249890826946024e-06
1957,3.4220164317438114e-06
1958,3.353101582043954e-06
1959,3.3245438381917277e-06
1960,3.3263189769578664e-06
1961,3.3155035583019654e-06
1962,3.2001265221229654e-06
1963,3.238058720203948e-06
1964,3.2412408797556836e-06
1965,3.247649114460468e-06
1966,3.2793119381884547e-06
1967,3.281373242966116e-06
1968,3.253985044336462e-06
1969,3.321591780799541e-06
1970,3.294659823690641e-06
1971,3.3479502690170193e-06
1972,3.4886319164278186e-06
1973,3.5228268708514018e-06
1974,3.5876289205459344e-06
1975,3.699716736654019e-06
1976,3.81977659864268e-06
1977,3.900562335599846e-06
1978,3.9537155121901634e-06
1979,3.965327031047698e-06
1980,4.026997593038166e-06
1981,4.061163313703478e-06
1982,4.1295753752430234e-06
1983,4.183526860807822e-06
1984,4.363916429740909e-06
1985,4.492443037764003e-06
1986,4.5630512691527e-06
1987,4.723340030717996e-06
1988,4.856070842963943e-06
1989,4.888221090888172e-06
1990,4.969201329783703e-06
1991,4.9528350375892065e-06
1992,5.034435292015717e-06
1993,5.181660721323819e-06
1994,5.167964575645913e-06
1995,5.2493422637261185e-06
1996,5.307668678662074e-06
1997,5.35810737086909e-06
1998,5.388757082463209e-06
1999,5.45446885423319e-06
2000,5.396142959008492e-06
2001,5.462905976725908e-06
2002,5.615857584676373e-06
2003,5.753985728266084e-06
2004,5.8737338934276655e-06
2005,5.882187646680645e-06
2006,5.724330614092261e-06
2007,5.755537586082937e-06
2008,5.710435159146852e-06
2009,5.568777396547375e-06
2010,5.617528196515715e-06
2011,5.598402367468225e-06
2012,5.7348469064371395e-06
2013,5.929214629369588e-06
2014,6.0504142831112925e-06
2015,6.147143137371001e-06
2016,6.275089617702179e-06
2017,6.2379576017216705e-06
2018,6.231186489458196e-06
2019,6.214648124114319e-06
