year,Hide and Seek
1905,1.930142889960962e-08
1906,1.9238314941105727e-08
1907,1.9433040573549728e-08
1908,1.9202266189820094e-08
1909,1.6443904269993126e-08
1910,1.632147801038692e-08
1911,1.659649179990603e-08
1912,1.6536493317533185e-08
1913,1.6317712895183182e-08
1914,1.6442492320071063e-08
1915,1.6713105819933716e-08
1916,1.6791262475684173e-08
1917,1.722193536985677e-08
1918,1.859406799959678e-08
1919,2.0614545245426338e-08
1920,2.257478394694447e-08
1921,2.3732961247040814e-08
1922,2.5592968760130523e-08
1923,2.6944847622952954e-08
1924,2.8833456257513846e-08
1925,2.802689838940101e-08
1926,2.9595566378556474e-08
1927,3.012885255567913e-08
1928,2.9080856579964476e-08
1929,2.9308111493264732e-08
1930,2.909587237809319e-08
1931,2.766278660106179e-08
1932,2.8995060828508812e-08
1933,2.6373392866422104e-08
1934,2.363889401684511e-08
1935,2.278225354400222e-08
1936,2.0448260989220605e-08
1937,1.8573654614328916e-08
1938,1.759768787832984e-08
1939,1.6783088950335567e-08
1940,1.667269725455104e-08
1941,1.746674348014819e-08
1942,1.842275335458713e-08
1943,1.8281882801269537e-08
1944,2.036216972811644e-08
1945,2.058937921743466e-08
1946,1.8754415544362602e-08
1947,1.9431338696814952e-08
1948,1.8649126560481884e-08
1949,1.8695020008254104e-08
1950,1.9496613085883448e-08
1951,1.9105528080233724e-08
1952,1.9518141261950665e-08
1953,2.7031333362158094e-08
1954,2.8569015090137588e-08
1955,3.028247265644625e-08
1956,2.9784641293011712e-08
1957,2.9495491255764657e-08
1958,2.8563124690858136e-08
1959,2.7958575898878735e-08
1960,2.1567747460997973e-08
1961,1.9296667375101606e-08
1962,1.8081361931519624e-08
1963,1.9394831137934228e-08
1964,2.551269392573171e-08
1965,2.6405294966431418e-08
1966,2.768359814402694e-08
1967,2.866159550965871e-08
1968,2.993469776819373e-08
1969,3.239971186579689e-08
1970,3.250027218777112e-08
1971,2.809262384622408e-08
1972,2.8431978041762055e-08
1973,3.0277244584502635e-08
1974,3.006098024473301e-08
1975,2.9604434459429285e-08
1976,2.8732407183643512e-08
1977,2.9831228281247084e-08
1978,3.1112297246441556e-08
1979,3.139134361975136e-08
1980,2.8884466881809852e-08
1981,2.8818902819693903e-08
1982,2.934068581745513e-08
1983,2.8364336910970322e-08
1984,2.885254371928373e-08
1985,2.7250321364493046e-08
1986,2.7435610101227733e-08
1987,2.9346033412837513e-08
1988,3.0791017989275e-08
1989,3.087900804895785e-08
1990,3.222544110924121e-08
1991,3.220626812857777e-08
1992,3.620760453364775e-08
1993,3.7176975910467395e-08
1994,3.912661483695956e-08
1995,4.1838867101010435e-08
1996,4.3947154994482066e-08
1997,4.485680500059581e-08
1998,4.780523253446388e-08
1999,4.670760134217744e-08
2000,4.8978096499143117e-08
2001,4.80710201803244e-08
2002,4.604936368731874e-08
2003,4.639344755982425e-08
2004,4.792025722265082e-08
2005,4.6246396680414496e-08
2006,4.628343575063809e-08
2007,4.656744374236561e-08
2008,4.940728207511061e-08
2009,5.063973570632438e-08
2010,5.0646771601999974e-08
2011,5.0861935615590225e-08
2012,5.176416755554263e-08
2013,5.2723161201941234e-08
2014,5.063593379515753e-08
2015,4.8233252820344726e-08
2016,4.6458324679373875e-08
2017,4.652762027509046e-08
2018,4.528655921376412e-08
2019,4.3776529068395575e-08
